iter,num_nodes,num_edges,threshold,num_edges_changed,d_totaltime,d_replantime,d_cost,d_meancost,d_varcost,d_numupdates,d_paths_expanded,d_heap_ops,d_paths_considered,d_closed_accesses,r_totaltime,r_replantime,r_cost,r_meancost,r_varcost,r_numupdates,r_paths_expanded,r_heap_ops,r_paths_considered,r_closed_accesses
0,60,704,0.75,20,2.2111117839813232,0.5618040561676025,115.99282987504283,126,53,6,660,4336,99,11824,5.3892598152160645,3.706420660018921,113.26031654184199,108,44,6,1680,12489,98,25630
1,60,708,0.75,20,1.9423131942749023,0.5089266300201416,101.16513595307282,127,43,6,619,4101,89,9284,4.247116327285767,2.814847707748413,117.15689719939553,118,47,6,1477,11446,63,22048
2,60,590,0.75,20,0.9470369815826416,0.0681006908416748,144.87696646623428,139,71,6,493,3162,34,6984,2.2315285205841064,1.3503952026367188,136.07594508994194,130,46,6,1199,8323,25,14644
3,60,612,0.75,20,0.9986426830291748,0.09920358657836914,84.8451301711357,114,32,6,541,3204,36,7862,1.5450689792633057,0.649878978729248,127.64286792702829,114,32,6,944,6342,33,11769
4,60,612,0.75,20,0.2796342372894287,0.03672313690185547,126.09924109878942,132,49,6,296,1831,35,4271,0.8412694931030273,0.6006636619567871,107.34341496410667,120,47,6,814,6010,27,10269
5,60,660,0.75,20,2.1196460723876953,0.27579212188720703,100.35566555808673,134,54,6,861,4807,127,10031,2.5282750129699707,0.6947493553161621,86.84977982551142,86,53,6,1195,7188,109,13780
6,60,646,0.75,20,2.0050015449523926,0.22441434860229492,101.92179367514262,120,46,6,861,4440,143,10777,4.035400867462158,2.249469041824341,102.01128066317901,108,49,7,1747,10939,140,21327
7,60,608,0.75,20,1.0233328342437744,0.0981438159942627,147.44872486318113,129,66,6,564,2821,50,8070,2.064260959625244,1.1416304111480713,102.8812164031163,120,67,6,1187,6626,49,15008
8,60,582,0.75,20,1.0050685405731201,0.16310596466064453,108.89973779185975,116,48,6,581,2927,148,6468,2.065311908721924,1.2278358936309814,111.72529808409374,119,40,5,1289,7293,116,13969
9,60,590,0.75,20,1.1223747730255127,0.06528425216674805,96.40604947362988,123,47,6,532,3277,46,7355,3.0634987354278564,2.0079727172851562,120.04852625785159,119,56,7,1530,9776,48,17568
10,60,664,0.75,20,1.596698522567749,0.18327021598815918,105.04844624153142,123,44,5,610,3833,55,8808,2.7744524478912354,1.3669099807739258,78.06191062036469,108,36,4,951,7111,45,13031
11,60,634,0.75,20,0.25191569328308105,0.0286407470703125,105.44058626011247,108,37,6,266,1795,20,4426,0.6697149276733398,0.4462728500366211,98.36658120171965,98,30,6,698,5136,21,9062
12,60,580,0.75,20,0.37482666969299316,0.07769966125488281,130.48346182139016,124,63,6,329,1867,47,4305,0.8010449409484863,0.5050435066223145,108.27382537577317,101,42,5,653,4294,23,8025
13,60,608,0.75,20,1.0759625434875488,0.05058479309082031,108.65149619364223,138,58,7,580,3357,92,6983,2.3850035667419434,1.3665330410003662,129.76903860928232,124,51,6,1226,8240,84,15178
14,60,684,0.75,20,2.565765380859375,0.27931690216064453,135.38986109816489,119,53,7,851,5255,101,13461,6.196679353713989,3.945143699645996,92.13730180269093,102,52,7,1930,13650,60,26491
15,60,608,0.75,20,2.5955445766448975,0.5540623664855957,100.90035580157016,125,73,6,744,5057,140,12396,2.689021348953247,0.6613984107971191,101.24719001537692,90,43,7,1024,6724,76,13207
16,60,628,0.75,20,5.637360095977783,2.892030715942383,80.2082145297074,112,56,6,1654,8848,260,23389,5.8970654010772705,3.167623281478882,80.3301097357371,98,52,6,1786,11539,172,22279
17,60,656,0.75,20,0.8371539115905762,0.14063239097595215,124.1966869735105,137,70,7,501,2595,79,6656,2.2767679691314697,1.5850262641906738,143.84645401311394,134,65,6,1285,7800,35,16505
18,60,600,0.75,20,1.158766269683838,0.29604578018188477,98.23903169084561,100,28,6,577,3123,101,7219,2.3997035026550293,1.5370447635650635,97.72615114225103,100,28,6,1347,7942,88,15774
19,60,606,0.75,20,0.32434606552124023,0.03305649757385254,98.78450926760979,102,22,6,297,1942,25,4785,0.6988644599914551,0.4078826904296875,88.26806451578241,102,22,6,614,4077,25,7483
